Term,Category,WordBank,Lexical_Class
sock,clothing,0.69,Noun
sweater,clothing,0.43,Noun
tights,clothing,0.13,Noun
underpants,clothing,0.23,Noun
zipper,clothing,0.46,Noun
ankle,body_parts,0.16,Noun
arm,body_parts,0.67,Noun
belly button,body_parts,0.69,Noun
buttocks/bottom,body_parts,0.63,Noun
cheek,body_parts,0.54,Noun
chin,body_parts,0.51,Noun
ear,body_parts,0.82,Noun
eye,body_parts,0.87,Noun
face,body_parts,0.53,Noun
finger,body_parts,0.65,Noun
foot,body_parts,0.72,Noun
hair,body_parts,0.75,Noun
hand,body_parts,0.71,Noun
head,body_parts,0.7,Noun
knee,body_parts,0.59,Noun
leg,body_parts,0.58,Noun
lips,body_parts,0.39,Noun
mouth,body_parts,0.72,Noun
nose,body_parts,0.85,Noun
owie/boo boo,body_parts,0.72,Noun
penis,body_parts,0.4,Noun
shoulder,body_parts,0.3,Noun
toe,body_parts,0.65,Noun
tongue,body_parts,0.51,Noun
tooth,body_parts,0.61,Noun
tummy,body_parts,0.66,Noun
vagina,body_parts,0.2,Noun
basket,household,0.38,Noun
blanket,household,0.71,Noun
bottle,household,0.65,Noun
bowl,household,0.62,Noun
box,household,0.59,Noun
broom,household,0.47,Noun
brush,household,0.6,Noun
bucket,household,0.37,Noun
camera,household,0.35,Noun
can,household,0.24,Verb
clock,household,0.48,Noun
comb,household,0.39,Noun
cup,household,0.73,Noun
dish,household,0.28,Noun
fork,household,0.66,Noun
garbage,household,0.45,Noun
glass,household,0.36,Noun
glasses,household,0.51,Noun
hammer,household,0.34,Noun
jar,household,0.22,Noun
keys,household,0.63,Noun
knife,household,0.41,Noun
lamp,household,0.25,Noun
light,household,0.65,Noun
medicine,household,0.44,Noun
money,household,0.45,Noun
mop,household,0.19,Noun
nail,household,0.21,Noun
napkin,household,0.42,Noun
paper,household,0.58,Noun
penny,household,0.22,Noun
picture,household,0.47,Noun
pillow,household,0.58,Noun
plant,household,0.32,Noun
plate,household,0.5,Noun
purse,household,0.37,Noun
radio,household,0.19,Noun
scissors,household,0.34,Noun
soap,household,0.58,Noun
