Word,Mean_Burstiness,Mean_Frequency,Log_Mean_Frequency,Lexical_Class,WordBank
stroller,0.3167568774828202,10.0,2.302585092994046,Noun,0.46
stuck,0.3498831826642101,5.0,1.6094379124341003,Adjective,0.37
sun,0.4338140082940607,9.333333333333334,2.2335922215070942,Noun,0.59
sweater,0.5305344355852404,5.0,1.6094379124341003,Noun,0.43
swim,0.21446391497291617,9.0,2.1972245773362196,Verb,0.44
table,0.1726511376624004,7.0,1.9459101490553132,Noun,0.52
take,0.2738094899963854,77.6,4.351567427189173,Verb,0.3
talk,-0.07643545996080946,6.2,1.824549292051046,Verb,0.33
tape,0.6917008776213109,4.0,1.3862943611198906,Noun,0.31
taste,0.008464961719155575,6.25,1.8325814637483102,Verb,0.21
teacher,0.648673936493219,5.0,1.6094379124341003,Noun,0.24
tear,-0.048573440637061406,4.0,1.3862943611198906,Verb,0.14
that,0.38451785227928714,429.6,6.062854543194655,Function,0.43
the,0.5042538064756995,887.0,6.787844982309579,Function,0.25
their,0.40526726660994894,9.2,2.2192034840549946,Function,0.06
them,0.32104537509172737,65.8,4.186619838331271,Function,0.09
then,0.3057293780283573,107.4,4.676560182074764,Function,0.07
there,0.3343632688102601,170.8,5.14049328135447,Function,0.39
these,0.21982524214154647,29.8,3.3945083935113587,Function,0.17
they,0.38103817684413854,87.6,4.472780997942346,Function,0.09
think,0.276161418224281,110.0,4.700480365792417,Verb,0.11
thirsty,0.41388052565867794,3.0,1.0986122886681098,Adjective,0.36
this,0.32652793112933476,223.8,5.4107527958778245,Function,0.41
those,0.2690135312172955,47.4,3.858622228701031,Function,0.13
throw,0.2702660047135626,12.8,2.5494451709255714,Verb,0.45
tickle,0.725195509909366,10.25,2.327277705584417,Verb,0.5
time,0.2859354016350156,55.0,4.007333185232471,Noun,0.11
tiny,0.23034046794876362,8.333333333333334,2.120263536200091,Adjective,0.16
tired,0.44835968068676296,15.25,2.7245795030534206,Adjective,0.36
to,0.4346955690843437,603.6,6.402911726893694,Function,0.23
toast,0.387136873121106,6.0,1.791759469228055,Noun,0.52
today,0.2771293251808884,24.4,3.1945831322991562,Noun,0.18
tomorrow,0.35137219984589596,14.4,2.667228206581955,Noun,0.18
tongue,0.16889489783881234,3.5,1.252762968495368,Noun,0.51
too,0.26245094845809336,63.4,4.14946386144318,Function,0.37
toothbrush,0.7634983133358785,22.0,3.091042453358316,Noun,0.64
touch,0.2876770167468918,5.333333333333333,1.6739764335716716,Verb,0.34
towel,0.6511955364416615,6.75,1.9095425048844386,Noun,0.54
toy,0.34267638262691047,10.25,2.327277705584417,Noun,0.65
train,0.4736101498980161,4.5,1.5040773967762742,Noun,0.75
trash,0.39417624084244074,3.5,1.252762968495368,Noun,0.41
tray,0.5623212539056232,13.0,2.5649493574615367,Noun,0.11
tree,0.7413815750502206,6.0,1.791759469228055,Noun,0.73
truck,0.5789761002086151,7.0,1.9459101490553132,Noun,0.78
tummy,0.08545001815599952,7.0,1.9459101490553132,Noun,0.66
