Word	Burstiness	Frequency	Interevent Intervals	Event Onsets	POS Tag	Transcript
rain	0.414213562373095	3	[0, 828619]	[1306276, 1306276, 2134895]	NOUN	A1
number	0.6989252175316638	7	[3422, 11228, 19632, 549142, 3523925, 47156]	[2357505, 2360927, 2372155, 2391787, 2940929, 6464854, 6512010]	NOUN	A1
okay	0.14600000066041688	146	[416381, 168114, 92030, 69050, 2345, 1640, 0, 123770, 8179, 47503, 19681, 5082, 7360, 106145, 43755, 88159, 21861, 136527, 142226, 80083, 10684, 55691, 40865, 38994, 112670, 206873, 6730, 1963, 529858, 3044, 157982, 133112, 429515, 27530, 52996, 13853, 243595, 6862, 7965, 43974, 0, 129456, 176857, 20323, 12892, 335456, 12226, 12511, 26434, 129538, 160551, 102652, 52410, 77558, 80856, 103441, 185422, 75149, 5812, 13848, 0, 0, 4016, 49823, 27759, 35681, 46147, 1100, 595718, 3050, 53950, 25160, 15645, 54971, 6188, 27692, 6136, 3560, 113408, 127722, 8333, 37952, 70261, 22124, 21787, 8708, 7593, 25484, 12085, 31196, 97039, 88388, 3332, 36120, 1548, 102632, 48711, 159852, 127477, 39232, 223016, 54644, 28273, 7530, 232440, 6360, 196325, 16190, 19118, 42182, 5195, 102110, 4805, 90660, 41710, 18339, 16746, 150677, 5408, 80344, 78705, 147199, 39836, 34176, 9404, 624, 120550, 49867, 155311, 107431, 33833, 196298, 183570, 5367, 349885, 84810, 3300, 167465, 231965, 18940, 114352, 0, 39280, 3468, 26766]	[68795, 485176, 653290, 745320, 814370, 816715, 818355, 818355, 942125, 950304, 997807, 1017488, 1022570, 1029930, 1136075, 1179830, 1267989, 1289850, 1426377, 1568603, 1648686, 1659370, 1715061, 1755926, 1794920, 1907590, 2114463, 2121193, 2123156, 2653014, 2656058, 2814040, 2947152, 3376667, 3404197, 3457193, 3471046, 3714641, 3721503, 3729468, 3773442, 3773442, 3902898, 4079755, 4100078, 4112970, 4448426, 4460652, 4473163, 4499597, 4629135, 4789686, 4892338, 4944748, 5022306, 5103162, 5206603, 5392025, 5467174, 5472986, 5486834, 5486834, 5486834, 5490850, 5540673, 5568432, 5604113, 5650260, 5651360, 6247078, 6250128, 6304078, 6329238, 6344883, 6399854, 6406042, 6433734, 6439870, 6443430, 6556838, 6684560, 6692893, 6730845, 6801106, 6823230, 6845017, 6853725, 6861318, 6886802, 6898887, 6930083, 7027122, 7115510, 7118842, 7154962, 7156510, 7259142, 7307853, 7467705, 7595182, 7634414, 7857430, 7912074, 7940347, 7947877, 8180317, 8186677, 8383002, 8399192, 8418310, 8460492, 8465687, 8567797, 8572602, 8663262, 8704972, 8723311, 8740057, 8890734, 8896142, 8976486, 9055191, 9202390, 9242226, 9276402, 9285806, 9286430, 9406980, 9456847, 9612158, 9719589, 9753422, 9949720, 10133290, 10138657, 10488542, 10573352, 10576652, 10744117, 10976082, 10995022, 11109374, 11109374, 11148654, 11152122, 11178888]	INTJ	A1
look	0.1071358470006963	70	[370809, 127141, 0, 88890, 405633, 90106, 159084, 457817, 128220, 190057, 59939, 12325, 1409, 99498, 97002, 1736, 856, 223870, 58568, 251032, 9160, 6791, 3185, 363488, 62931, 5735, 3105, 81813, 278727, 250965, 259316, 4879, 255331, 695522, 412957, 208287, 361960, 101368, 3051, 377199, 130783, 3242, 3602, 7998, 0, 93483, 4553, 116817, 2264, 59096, 232768, 29515, 634644, 79440, 0, 554715, 90132, 1430, 427931, 6685, 58211, 559481, 77412, 169444, 861404, 128586, 46866, 27616, 94040]	[129630, 500439, 627580, 627580, 716470, 1122103, 1212209, 1371293, 1829110, 1957330, 2147387, 2207326, 2219651, 2221060, 2320558, 2417560, 2419296, 2420152, 2644022, 2702590, 2953622, 2962782, 2969573, 2972758, 3336246, 3399177, 3404912, 3408017, 3489830, 3768557, 4019522, 4278838, 4283717, 4539048, 5234570, 5647527, 5855814, 6217774, 6319142, 6322193, 6699392, 6830175, 6833417, 6837019, 6845017, 6845017, 6938500, 6943053, 7059870, 7062134, 7121230, 7353998, 7383513, 8018157, 8097597, 8097597, 8652312, 8742444, 8743874, 9171805, 9178490, 9236701, 9796182, 9873594, 10043038, 10904442, 11033028, 11079894, 11107510, 11201550]	VERB	A1
over	0.22547612477963005	27	[497683, 1897718, 538093, 156555, 299656, 462003, 171255, 30722, 849402, 174502, 300556, 197075, 455261, 175664, 21872, 52448, 0, 0, 62852, 1572, 370439, 28149, 365584, 2208, 1525, 1578707]	[774165, 1271848, 3169566, 3707659, 3864214, 4163870, 4625873, 4797128, 4827850, 5677252, 5851754, 6152310, 6349385, 6804646, 6980310, 7002182, 7054630, 7054630, 7054630, 7117482, 7119054, 7489493, 7517642, 7883226, 7885434, 7886959, 9465666]	ADV	A1
bad	0.398728382540638	3	[10113, 1837065]	[1232172, 1242285, 3079350]	ADJ	A1
long	-0.23958744870318954	4	[1124092, 146179, 994021]	[6113242, 7237334, 7383513, 8377534]	ADV	A1
didn't	0.1119169168872732	33	[513719, 24555, 1744, 400411, 599635, 739280, 192884, 10276, 498013, 287598, 891666, 278227, 667189, 211999, 172252, 39196, 100907, 9817, 13384, 13964, 397581, 253082, 0, 35517, 3633, 6142, 80323, 43533, 814631, 291763, 1109259, 1562814]	[446526, 960245, 984800, 986544, 1386955, 1986590, 2725870, 2918754, 2929030, 3427043, 3714641, 4606307, 4884534, 5551723, 5763722, 5935974, 5975170, 6076077, 6085894, 6099278, 6113242, 6510823, 6763905, 6763905, 6799422, 6803055, 6809197, 6889520, 6933053, 7747684, 8039447, 9148706, 10711520]	VERB	A1
I've	-0.12356124949888002	5	[1433268, 3423188, 1838786, 93310]	[4385770, 5819038, 9242226, 11081012, 11174322]	PRON	A1
did	0.05060206140667766	57	[626845, 114972, 69169, 24449, 672223, 0, 203461, 629489, 16800, 215458, 618492, 487322, 143653, 25068, 201789, 115953, 16759, 425859, 485544, 372277, 24351, 9427, 5418, 178358, 586352, 67168, 126005, 97297, 71732, 495575, 240057, 9125, 21395, 915, 492369, 133814, 289718, 109964, 341687, 20084, 8765, 204633, 100321, 407322, 437098, 84748, 57278, 110073, 2599, 40100, 94080, 2107, 33762, 88011, 22558, 29390]	[470392, 1097237, 1212209, 1281378, 1305827, 1978050, 1978050, 2181511, 2811000, 2827800, 3043258, 3661750, 4149072, 4292725, 4317793, 4519582, 4635535, 4652294, 5078153, 5563697, 5935974, 5960325, 5969752, 5975170, 6153528, 6739880, 6807048, 6933053, 7030350, 7102082, 7597657, 7837714, 7846839, 7868234, 7869149, 8361518, 8495332, 8785050, 8895014, 9236701, 9256785, 9265550, 9470183, 9570504, 9977826, 10414924, 10499672, 10556950, 10667023, 10669622, 10709722, 10803802, 10805909, 10839671, 10927682, 10950240, 10979630]	VERB	A1
